06/19/2024 09:45:46 PM, 06/19/2024 09:45:46 PM, ini, juego1, Lanzar-Dado, Team B, Francisco, NULL
06/19/2024 09:45:48 PM, 06/19/2024 09:45:48 PM, ini, juego1, Lanzar-Dado, Team A, Pepito, NULL
06/19/2024 09:45:50 PM, 06/19/2024 09:45:50 PM, fin, juego1, Inicio-Partida, Team B, Francisco, NULL
06/19/2024 09:45:50 PM, 06/19/2024 09:45:50 PM, fin, juego1, Inicio-Juego, Team B, Francisco, NULL
06/19/2024 09:45:50 PM, 06/19/2024 09:45:50 PM, fin, juego1, Inicio-Partida, Team B, Claudio, NULL
06/19/2024 09:45:50 PM, 06/19/2024 09:45:50 PM, fin, juego1, Inicio-Juego, Team B, Claudio, NULL
06/19/2024 09:45:50 PM, 06/19/2024 09:45:50 PM, fin, juego1, Inicio-Partida, Team A, Pepito, NULL
06/19/2024 09:45:50 PM, 06/19/2024 09:45:50 PM, fin, juego1, Inicio-Juego, Team A, Pepito, NULL
06/19/2024 09:47:46 PM, 06/19/2024 09:47:46 PM, ini, juego1, Inicio-Juego, Team B, Francisco, NULL
06/19/2024 09:47:46 PM, 06/19/2024 09:47:46 PM, ini, juego1, Crea-Jugador, Team B, Francisco, NULL
06/19/2024 09:47:50 PM, 06/19/2024 09:47:50 PM, ini, juego1, Inicio-Juego, Team B, Claudio, NULL
06/19/2024 09:47:50 PM, 06/19/2024 09:47:50 PM, ini, juego1, Crea-Jugador, Team B, Claudio, NULL
06/19/2024 09:47:50 PM, 06/19/2024 09:47:50 PM, fin, juego1, Crea-Jugador, Team B, Francisco, NULL
06/19/2024 09:47:54 PM, 06/19/2024 09:47:54 PM, ini, juego1, Inicio-Juego, Team A, Pepito, NULL
06/19/2024 09:47:54 PM, 06/19/2024 09:47:54 PM, ini, juego1, Crea-Jugador, Team A, Pepito, NULL
06/19/2024 09:47:54 PM, 06/19/2024 09:47:54 PM, fin, juego1, Crea-Jugador, Team B, Claudio, NULL
06/19/2024 09:47:58 PM, 06/19/2024 09:47:58 PM, fin, juego1, Crea-Jugador, Team A, Pepito, NULL
06/19/2024 09:48:00 PM, 06/19/2024 09:48:00 PM, ini, juego1, Inicio-Partida, Team B, Francisco, NULL
06/19/2024 09:48:00 PM, 06/19/2024 09:48:00 PM, ini, juego1, Inicio-Partida, Team B, Claudio, NULL
06/19/2024 09:48:00 PM, 06/19/2024 09:48:00 PM, ini, juego1, Inicio-Partida, Team A, Pepito, NULL
